Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,1102,Sales,1,Life_SC,2,Female,94,3,2,Sales_exec,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1
49,Travel_Frequently,279,RandD,8,Life_SC,3,Male,61,2,2,Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,0
37,Travel_Rarely,1373,RandD,2,Other,4,Male,92,2,1,Lab_tech,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,1
33,Travel_Frequently,1392,RandD,3,Life_SC,4,Female,56,3,1,Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0
27,Travel_Rarely,591,RandD,2,Medical,1,Male,40,3,1,Lab_tech,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,0
32,Travel_Frequently,1005,RandD,2,Life_SC,4,Male,79,3,1,Lab_tech,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,0
59,Travel_Rarely,1324,RandD,3,Medical,3,Female,81,4,1,Lab_tech,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0
30,Travel_Rarely,1358,RandD,24,Life_SC,4,Male,67,3,1,Lab_tech,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,0
38,Travel_Frequently,216,RandD,23,Life_SC,4,Male,44,2,3,mfg_director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8,0
36,Travel_Rarely,1299,RandD,27,Medical,3,Male,94,3,2,health_rep,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,0
35,Travel_Rarely,809,RandD,16,Medical,1,Male,84,4,1,Lab_tech,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,0
29,Travel_Rarely,153,RandD,15,Life_SC,4,Female,49,2,2,Lab_tech,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0
31,Travel_Rarely,670,RandD,26,Life_SC,1,Male,31,3,1,Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,0
34,Travel_Rarely,1346,RandD,19,Medical,2,Male,93,3,1,Lab_tech,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,0
28,Travel_Rarely,103,RandD,24,Life_SC,3,Male,50,2,1,Lab_tech,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,1
29,Travel_Rarely,1389,RandD,21,Life_SC,2,Female,51,4,3,mfg_director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,0
32,Travel_Rarely,334,RandD,5,Life_SC,1,Male,80,4,1,Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0
22,Non-Travel,1123,RandD,16,Medical,4,Male,96,4,1,Lab_tech,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0
53,Travel_Rarely,1219,Sales,2,Life_SC,1,Female,78,2,4,Manager,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7,0
