DATE,IPG2211A2N
1/1/1939,3.3842
2/1/1939,3.41
3/1/1939,3.4875
4/1/1939,3.5133
5/1/1939,3.5133
6/1/1939,3.565
7/1/1939,3.565
8/1/1939,3.6167
9/1/1939,3.72
10/1/1939,3.72
11/1/1939,3.7458
12/1/1939,3.7458
1/1/1940,3.7717
2/1/1940,3.8233
3/1/1940,3.8492
4/1/1940,3.8492
5/1/1940,3.875
6/1/1940,3.9267
7/1/1940,3.9267
8/1/1940,3.9783
9/1/1940,4.03
10/1/1940,4.0558
11/1/1940,4.1592
12/1/1940,4.1592
1/1/1941,4.185
2/1/1941,4.2367
3/1/1941,4.2883
4/1/1941,4.34
5/1/1941,4.3658
6/1/1941,4.4433
7/1/1941,4.495
8/1/1941,4.5467
9/1/1941,4.5725
10/1/1941,4.5983
11/1/1941,4.65
12/1/1941,4.7533
1/1/1942,4.805
2/1/1942,4.8567
3/1/1942,4.8825
4/1/1942,4.8825
5/1/1942,4.8825
6/1/1942,4.9084
7/1/1942,5.0634
8/1/1942,5.0892
9/1/1942,5.115
10/1/1942,5.115
11/1/1942,5.1925
12/1/1942,5.27
1/1/1943,5.2184
2/1/1943,5.2959
3/1/1943,5.3217
4/1/1943,5.3992
5/1/1943,5.425
6/1/1943,5.5284
7/1/1943,5.58
8/1/1943,5.6059
9/1/1943,5.7092
10/1/1943,5.7092
11/1/1943,5.7867
12/1/1943,5.7867
1/1/1944,5.735
2/1/1944,5.8125
3/1/1944,5.9159
4/1/1944,5.9417
5/1/1944,5.9417
6/1/1944,5.9417
7/1/1944,5.89
8/1/1944,5.9159
9/1/1944,5.89
10/1/1944,5.8384
11/1/1944,5.89
12/1/1944,5.9159
1/1/1945,6.0192
2/1/1945,6.0192
3/1/1945,5.9934
4/1/1945,5.9934
5/1/1945,6.045
6/1/1945,6.1225
7/1/1945,6.0967
8/1/1945,5.9934
9/1/1945,5.89
10/1/1945,5.8384
11/1/1945,5.89
12/1/1945,5.9417
1/1/1946,5.9417
2/1/1946,5.9417
3/1/1946,5.9417
4/1/1946,6.045
5/1/1946,6.0967
6/1/1946,6.1225
7/1/1946,6.2517
8/1/1946,6.355
9/1/1946,6.4325
10/1/1946,6.51
11/1/1946,6.5359
12/1/1946,6.5617
1/1/1947,6.7425
2/1/1947,6.6134
3/1/1947,6.5617
4/1/1947,6.5617
5/1/1947,6.5359
6/1/1947,6.5359
7/1/1947,6.5359
8/1/1947,6.7167
9/1/1947,6.8459
10/1/1947,6.8717
11/1/1947,6.9492
12/1/1947,7.285
1/1/1948,7.6467
2/1/1948,7.4659
3/1/1948,7.4917
4/1/1948,7.3367
5/1/1948,7.1817
6/1/1948,7.2334
7/1/1948,7.285
8/1/1948,7.4659
9/1/1948,7.595
10/1/1948,7.6725
11/1/1948,7.7759
12/1/1948,8.0859
1/1/1949,8.2667
2/1/1949,8.0859
3/1/1949,7.9825
4/1/1949,7.8017
5/1/1949,7.6467
6/1/1949,7.6984
7/1/1949,7.8017
8/1/1949,7.9825
9/1/1949,8.06
10/1/1949,8.0084
11/1/1949,8.215
12/1/1949,8.68
1/1/1950,9.0934
2/1/1950,8.8867
3/1/1950,8.9384
4/1/1950,8.835
5/1/1950,8.8092
6/1/1950,8.8867
7/1/1950,8.9125
8/1/1950,9.1192
9/1/1950,9.2484
10/1/1950,9.4034
11/1/1950,9.5325
12/1/1950,9.8684
1/1/1951,10.4367
2/1/1951,10.2817
3/1/1951,10.2817
4/1/1951,10.2559
5/1/1951,10.0492
6/1/1951,10.1784
7/1/1951,10.23
8/1/1951,10.4625
9/1/1951,10.5659
10/1/1951,10.4884
11/1/1951,10.695
12/1/1951,11.005
1/1/1952,11.5475
2/1/1952,11.2892
3/1/1952,11.2117
4/1/1952,10.9275
5/1/1952,10.7209
6/1/1952,10.7984
7/1/1952,10.9792
8/1/1952,11.3409
9/1/1952,11.5475
10/1/1952,11.5217
11/1/1952,11.625
12/1/1952,12.0384
1/1/1953,12.4517
2/1/1953,12.0642
3/1/1953,12.1417
4/1/1953,12.0642
5/1/1953,11.9092
